rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation,source_url,data_note
2026-04-01,FRS_Male_Football_20260401,Switzerland,SUI,19,18,-1,1645.65,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Iran,IRN,20,20,0,1618.52,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Denmark,DEN,21,21,0,1603.18,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Austria,AUT,22,22,0,1589.97,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Ecuador,ECU,23,24,1,1587.68,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,South Korea,KOR,24,23,-1,1585.45,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Ukraine,UKR,25,28,3,1557.91,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Canada,CAN,26,25,-1,1553.36,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Panama,PAN,27,30,3,1534.23,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Turkey,TUR,28,27,-1,1533.95,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Serbia,SRB,29,33,4,1523.94,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Wales,WAL,30,29,-1,1516.17,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Australia,AUS,31,26,-5,1514.72,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Sweden,SWE,32,31,-1,1512.99,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Norway,NOR,33,34,1,1512.33,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Paraguay,PAR,34,39,5,1509.33,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Egypt,EGY,35,32,-3,1505.21,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Algeria,ALG,36,37,1,1504.59,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Hungary,HUN,37,41,4,1497.87,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Poland,POL,38,35,-3,1496.22,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Russia,RUS,39,38,-1,1495.53,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Scotland,SCO,40,45,5,1493.8,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Slovakia,SVK,41,36,-5,1488.96,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Czech Republic,CZE,42,40,-2,1484.72,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Greece,GRE,43,42,-1,1482.82,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Romania,ROU,44,43,-1,1481.4,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Tunisia,TUN,45,46,1,1478.04,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Côte d'Ivoire,CIV,46,44,-2,1477.02,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Nigeria,NGA,47,47,0,1467.25,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Venezuela,VEN,48,48,0,1466.26,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Costa Rica,CRC,49,48,-1,1451.75,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Cameroon,CMR,50,51,1,1450.14,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Chile,CHI,51,50,-1,1449.89,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Mali,MLI,52,53,1,1446.1,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Qatar,QAT,53,52,-1,1444.49,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Slovenia,SVN,54,54,0,1437.37,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Peru,PER,55,57,2,1434.73,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Uzbekistan,UZB,56,58,2,1433.78,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Saudi Arabia,KSA,57,59,2,1427.41,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Republic of Ireland,IRL,58,60,2,1419.62,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,South Africa,RSA,59,56,-3,1416.66,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Iraq,IRQ,60,55,-5,1414.37,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,DR Congo,COD,61,61,0,1413.65,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Jamaica,JAM,62,63,1,1406.96,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Jordan,JOR,63,63,0,1406.18,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Albania,ALB,64,65,1,1382.1,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Burkina Faso,BFA,65,64,-1,1381.39,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,United Arab Emirates,UAE,66,66,0,1375.17,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,North Macedonia,MKD,67,67,0,1370.64,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Georgia,GEO,68,68,0,1367.68,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Cape Verde,CPV,69,69,0,1365.36,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Northern Ireland,NIR,70,71,1,1364.56,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Bosnia and Herzegovina,BIH,71,70,-1,1361.71,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Oman,OMA,72,79,7,1349.54,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Guinea,GUI,73,75,2,1346.69,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Ghana,GHA,74,72,-2,1346.58,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Finland,FIN,75,73,-2,1344.73,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Iceland,ISL,76,74,-2,1344.51,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Honduras,HON,77,76,-1,1341.72,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Bahrain,BHR,78,81,3,1327.92,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Israel,ISR,79,77,-2,1327.1,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Haiti,HAI,80,84,4,1318.79,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,New Zealand,NZL,81,89,8,1304.6,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Bolivia,BOL,82,78,-4,1301.6,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Kosovo,KVX,83,80,-3,1300.13,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Angola,ANG,84,85,1,1297.92,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Montenegro,MNE,85,89,4,1297.09,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Bulgaria,BUL,86,83,-3,1293.11,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Uganda,UGA,87,86,-1,1291.33,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Gabon,GAB,88,87,-1,1286.65,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Curaçao,CUW,89,82,-7,1285.76,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Syria,SYR,90,88,-2,1277.23,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Equatorial Guinea,EQG,91,92,1,1273.81,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Luxembourg,LUX,92,91,-1,1269.65,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Zambia,ZAM,93,90,-3,1267.85,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Benin,BEN,94,93,-1,1263.82,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Comoros,COM,95,103,8,1261.28,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Armenia,ARM,96,100,4,1252.87,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Palestine,PLE,97,95,-2,1248.98,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Mozambique,MOZ,98,99,1,1233.19,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,El Salvador,SLV,99,98,-1,1225.26,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2026-04-01,FRS_Male_Football_20260401,Belarus,BLR,100,101,1,1224.44,,,https://en.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
